Model,VIN,Uph,Retail Date,MSRP,Wholesale date,Trade,Client order,Paints,Lot life,Defect
GLE450W4,4JGFB5KEXLA059688,Grey,5/31/2019,"$77,415 ",5/29/2019,0,1,White,2,0
GLE350W4,4JGFB4KB1LA048658,Beige,5/31/2019,"$69,515 ",5/16/2019,0,0,Grey,15,0
G550W4,WDCYC6BJ4KX324057,Black,5/31/2019,"$133,035 ",5/31/2019,0,1,White,0,0
GLE350W4,4JGFB4KB2LA048779,Beige,5/30/2019,"$68,610 ",5/22/2019,0,0,Grey,8,0
E300W4,WDDZF4KB8KA627270,Beige,5/30/2019,"$66,960 ",5/28/2019,1,0,White,2,0
C300W4,55SWF8EB2KU290603,Beige,5/30/2019,"$53,375 ",5/28/2019,1,0,Red,2,0
GT63C4S,WDD7X8KB9KA007376,Brown,5/30/2019,"$177,910 ",5/30/2019,0,1,White,0,0
S560A,WDDXK8DBXKA038468,White,5/30/2019,"$153,435 ",2/8/2019,0,0,Blue,111,1
G63W4,WDCYC7HJ0KX323498,Red,5/30/2019,"$164,995 ",5/28/2019,0,1,Black,2,0
G550W4,WDCYC6BJ3KX323207,Black,5/30/2019,"$139,295 ",5/28/2019,0,1,Silver,2,0
G63W4,WDCYC7HJXKX323265,Red,5/30/2019,"$170,995 ",5/28/2019,0,1,Grey,2,0
G63W4,WDCYC7HJ6KX323652,Black,5/30/2019,"$165,945 ",5/28/2019,0,1,White,2,0
G63W4,WDCYC7HJ9KX322446,White,5/30/2019,"$167,345 ",5/23/2019,0,1,Black,7,0
A220W4,WDD3G4FBXKW006404,Black,5/30/2019,"$43,515 ",5/18/2019,0,0,White,12,0
C300W4,55SWF8EB2KU309117,Beige,5/28/2019,"$47,375 ",5/28/2019,1,0,White,0,0
E53C4,WDD1J6BB0KF092879,Black,5/28/2019,"$80,710 ",5/28/2019,1,0,White,0,0
G63W4,WDCYC7HJ1KX323428,Brown,5/28/2019,"$156,515 ",5/28/2019,1,0,Black,0,0
