Model,VIN,Uph,Retail Date,MSRP,Wholesale date,Trade,Client order,Paints,Lot life,Defect
GLC300W4,WDC0G4KBXKF600732,Black,2/28/2019,47215,2/18/2019,0,0,White,10,0
CLA250C4,WDDSJ4GB5KN746847,Black,2/28/2019,44145,12/8/2018,0,0,Red,82,0
GLE350W4,4JGFB4KB5LA011080,Black,2/27/2019,56775,2/15/2019,0,0,White,12,0
E63S4S,WDDZH8KB3KA512531,Black,2/25/2019,140260,11/30/2018,0,0,Grey,87,0
GLE400W4,4JGDA5GB2KB206314,Black,2/25/2019,61910,9/13/2018,0,0,Black,165,1
C63CS,WDDWJ8HB5KF845329,Grey,2/25/2019,96250,2/18/2019,0,1,Grey,7,0
C300W4,55SWF8EB6KU302011,Black,2/25/2019,54325,2/18/2019,1,0,Red,7,0
C300W4,55SWF8EB2KU293324,Grey,2/25/2019,47745,11/14/2018,0,0,Black,103,1
GLS550W4,4JGDF7DE6KB234709,Black,2/23/2019,100130,2/20/2019,1,0,White,3,0
GLC43C4,WDC0J6EB9KF598786,Red,2/23/2019,71675,2/18/2019,0,1,Black,5,0
GLA45W4,WDDTG5CB6JJ513810,Black,2/23/2019,63325,4/30/2018,0,0,White,299,1
E63W4S,WDDZF8KB5KA612913,White,2/23/2019,142065,2/11/2019,0,1,Red,12,0
GLA250W4,WDCTG4GBXKJ592263,Beige,2/23/2019,45020,12/31/2018,0,0,White,54,0
C300W4,WDDWF8EB2KR482802,Grey,2/23/2019,47795,2/17/2019,0,1,Blue,6,0
A220W4,WDD3G4FB5KW001420,Beige,2/23/2019,42525,1/28/2019,0,0,Silver,26,0
GLC300W4,WDC0G4KB6KF581905,Beige,2/20/2019,56080,12/31/2018,0,0,White,51,0
GLC300W4,WDC0G4KB1KV149695,Black,2/19/2019,55075,11/27/2018,0,0,Silver,84,0
CLA250C4,WDDSJ4GB8KN723675,Beige,2/19/2019,45325,8/31/2018,0,0,White,172,1
A220W4,WDD3G4FB5KW001255,Black,2/19/2019,41700,1/31/2019,0,0,Black,19,0
CLA45C4,WDDSJ5CBXJN547335,Beige,2/16/2019,60245,7/23/2017,0,0,Blue,573,1
GLC300C4,WDC0J4KBXKF594917,Red,2/16/2019,54825,2/12/2019,1,0,White,4,0
E63S4S,WDDZH8KBXKA596055,Brown,2/13/2019,134150,2/11/2019,0,1,Blue,2,0
G63W4,WDCYC7HJ3KX303584,Black,2/12/2019,175945,2/11/2019,0,1,Black,1,0
G63W4,WDCYC7HJ0KX301713,Red,2/12/2019,162815,1/31/2019,0,1,White,12,0
GLA250W4,WDCTG4GB9KJ595624,Black,2/7/2019,43690,12/31/2018,0,0,Black,38,0
CLS450C4,WDD2J5KB2KA008170,Black,2/6/2019,87045,11/17/2018,0,0,Grey,81,0
E53C4,WDD1J6BB1KF086864,Black,2/6/2019,88945,11/15/2018,0,0,Black,83,0
G63W4,WDCYC7HJ9KX303718,White,1/31/2019,157995,1/31/2019,0,1,White,0,0
G63W4,WDCYC7HJ2KX311367,Red,1/31/2019,161265,1/31/2019,0,1,Black,0,0
G63W4,WDCYC7HJ9KX304013,Red,1/31/2019,164295,1/31/2019,0,1,Black,0,0
G63W4,WDCYC7HJ2KX299513,Red,1/31/2019,163645,1/31/2019,0,1,Black,0,0
S560X4,WDDUX8GB0KA465531,White,1/31/2019,180825,1/12/2019,0,0,Black,19,0
GLC300W4,WDC0G4KB5KV151904,Beige,1/31/2019,48640,12/5/2018,0,0,White,57,0
CLA250C4,WDDSJ4GB8KN724244,Black,1/31/2019,40945,9/30/2018,0,0,Black,123,1
E63S4S,WDDZH8KB5KA562461,Black,1/31/2019,126040,1/31/2019,1,0,Black,0,0
GLC300W4,WDC0G4KB6KF557653,Beige,1/31/2019,51775,11/27/2018,0,0,Black,65,0
GTR,WDDYJ7KA2KA024298,Black,1/31/2019,175340,11/27/2018,0,0,Silver,65,0
E450S4,WDDZH6JB1KA557862,Beige,1/30/2019,73500,10/26/2018,0,0,Blue,96,1
GLE43W4,4JGDA6EB8KB205385,Black,1/30/2019,83070,11/13/2018,0,0,Silver,78,0
GLC300W4,WDC0G4KB6KV155444,Brown,1/30/2019,52315,12/31/2018,0,0,Blue,30,0
CLA250C4,WDDSJ4GB9KN723121,Black,1/30/2019,38525,10/11/2018,0,0,Black,111,1
GLC300C4,WDC0J4KB5KF571819,Red,1/29/2019,57155,12/31/2018,0,0,White,29,0
GLS550W4,4JGDF7DE1KB206705,Black,1/28/2019,101155,1/22/2019,1,0,Grey,6,0
E63W4S,WDDZF8KB7KA529628,White,1/28/2019,121120,11/27/2018,0,0,White,62,0
CLA250C,WDDSJ4EBXKN722157,Grey,1/28/2019,38695,8/29/2018,0,0,Black,152,1
SLC300R,WDDPK3JA1KF161139,White,1/28/2019,58745,12/31/2018,0,0,White,28,0
GLE43C4,4JGED6EB7KA141678,Brown,1/28/2019,81495,1/15/2019,1,0,Black,13,0
GLE43C4,4JGED6EB5KA138780,Grey,1/28/2019,83105,12/7/2018,0,0,Blue,52,0
GLA250W4,WDCTG4GB3KJ585199,Grey,1/28/2019,41495,12/5/2018,0,0,Red,54,0
GLC300W4,WDC0G4KB7KV153041,Black,1/26/2019,49935,12/13/2018,0,0,Silver,44,0
GLE43C4,4JGED6EBXKA138743,Black,1/24/2019,80875,11/16/2018,0,0,Black,69,0
GLC300W4,WDC0G4KB5KF561239,Beige,1/21/2019,47415,12/13/2018,0,0,Black,39,0
CLS53C4,WDD2J6BB7KA028615,Black,1/21/2019,94395,11/16/2018,0,0,Silver,66,0
GLE400W4,4JGDA5GB7KB216384,Black,1/21/2019,62630,12/3/2018,0,0,Grey,49,0
GLC300C4,WDC0J4KB1KF570716,Black,1/17/2019,59785,12/28/2018,0,0,Black,20,0
S63C4,WDDXJ8JB3KA038027,Black,1/17/2019,180945,11/30/2018,0,0,Black,48,0
S560V4,WDDUG8GB5KA462950,Black,1/17/2019,120495,12/31/2018,0,0,Black,17,0
GLA250W4,WDCTG4GB2KJ579653,Black,1/15/2019,40425,11/2/2018,0,0,Black,74,0
C300W4,55SWF8EB4KU298511,Black,1/12/2019,49825,11/24/2018,0,0,Black,49,0
S560X4,WDDUX8GB2KA443188,Beige,1/12/2019,184025,10/22/2018,0,0,Blue,82,0
GLA250W4,WDCTG4GB3KJ582237,Black,1/12/2019,47270,12/9/2018,0,0,Silver,34,0
GLE43W4,4JGDA6EB3KB213572,Beige,1/12/2019,85115,11/13/2018,0,0,White,60,0
S450V4,WDDUG6EBXKA455757,Beige,1/12/2019,105910,11/9/2018,0,0,White,64,0
GLE400W4,4JGDA5GB7KB206793,Black,1/7/2019,61910,10/3/2018,0,0,Black,96,1
GLC43C4,WDC0J6EB4KF497221,Red,1/7/2019,70730,11/30/2018,0,0,Black,38,0
CLA250C4,WDDSJ4GB7KN726938,Beige,1/7/2019,41820,9/11/2018,0,0,White,118,1
C43W4,55SWF6EB5KU291426,Brown,1/7/2019,68375,11/29/2018,0,0,Blue,39,0
E300W4,WDDZF4KB8KA591984,Beige,1/7/2019,66055,12/31/2018,0,0,Black,7,0
E63S4S,WDDZH8KB5KA589370,Black,1/3/2019,126010,12/31/2018,0,1,Black,3,0
C300W4,55SWF8EB2KU296935,Black,1/3/2019,53505,11/16/2018,0,0,White,48,0
E300W4,WDDZF4KB6KA587755,Beige,1/3/2019,62675,12/19/2018,0,0,Blue,15,0
GLE350W4,4JGDA5HB0JB191177,Beige,1/3/2019,60910,9/13/2018,0,0,White,112,1
GLE400W4,4JGDA5GB2KB216034,Black,1/3/2019,61750,10/5/2018,0,0,White,90,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
